keywords;real label;predicted label;confidence;description
donna brazile fired clinton;TRUE;TRUE;0.5880040014289027;Donna Brazile was fired from CNN after leaked e-mails suggested she used her position to pass information to the Clinton campaign about upcoming appearances.
dunkin dawkins;FALSE;FALSE;0.9571715551710335;Dunkin Donuts' new holiday cup features an image of Richard Dawkins giving the finger.
ecstasy halloween candy;FALSE;FALSE;0.6922882830439755;Parents should keep any eye out for drug-laced Gummy bears and ecstasy (MDMA) disguised as Halloween candy being distributed to trick-or-treaters.
facebook check in standing rock;UNPROVEN;FALSE;0.685459620537333;"Facebook users can assist Standing Rock protesters by ""checking in"" at the site to confuse the Morton County Sheriff's Department."
facebook electoral map;FALSE;FALSE;0.7754868780714506;"An electoral map based on Facebook analytics shows Donald Trump winning the 2016 presidential election in a ""clean sweep."""
fbi manafort russia OR russian;UNPROVEN;FALSE;0.8415554622306921;The FBI announced an inquiry into Russian ties between Trump's former campaign director and the Russian government.
fbi reopen hillary;TRUE;FALSE;0.770607868597821;According to Congressman Jason Chaffetz the FBI is reopening an investigation into Hillary Clinton's use of a private e-mail server for state business.
Fifth Amendment lynch;FALSE;FALSE;0.9739797737599591;Attorney General Loretta Lynch invoked her Fifth Amendment protection not to incriminate herself over the Obama administration's transfer of money to Iran.
hillary cancel lock her up;FALSE;FALSE;0.7336035010335015;"Hillary Clinton refused to exit her vehicle at an event in Florida after the crowd started chanting ""lock her up."""
hillary paid isis;FALSE;FALSE;0.8771059186345764;Hillary Clinton accidentally paid ISIS $400 million.
hillary property nypd;FALSE;FALSE;0.9057475954223336;The NYPD raided Clinton's property as part of the Anthony Weiner investigation.
hillary spirit cooking;FALSE;FALSE;0.9219098304522048;"Hillary Clinton and John Podesta practice a satanic ritual known as ""spirit cooking."""
hillary treason;FALSE;FALSE;0.8942353219860742;The Department of Homeland Security chairman has officially indicted Hillary Clinton on charges of treason.
I would like to see people hillary;FALSE;FALSE;0.9613777227075666;Hillary Clinton suggested during a 2013 speech that Donald Trump run for President.
jane doe press conference;TRUE;TRUE;0.8884290525920087;"The plaintiff who has only gone by ""Jane Doe"" in court documents did not appear at a scheduled press conference due to purported threats."
lazy American women;FALSE;FALSE;0.9539990902897435;"Vice President Joe Biden said in a speech that ""lazy American women"" brought about the downfall of the economy because they ""sit around on their behinds doing nothing."""
life expectancy obamacare;FALSE;FALSE;0.9568163081117986;Life expectancy in the United States is now lower because of Obamacare.
Marijuana legalization increase crime;UNPROVEN;TRUE;0.9305870121649857;Marijuana legalization has led to an increase in crime and fatalities all over Colorado.
McConaughey trump;FALSE;FALSE;0.905401440459028;Actor Matthew McConaughey made a video endorsing Donald Trump.
michelle obama deleted mentions;FALSE;FALSE;0.9064832927644328;"A disreputable web site falsely accused First Lady Michelle Obama of ""scrubbing"" her Twitter accounts of all mentions of Hillary Clinton."
obama cancel hillary;FALSE;FALSE;0.9120575182506764;President Obama has cancelled all upcming appearances at campaign events for Hillary Clinton in October 2016.
obama golf woods;FALSE;FALSE;0.9262952645464256;Taxypayers paid $4 million for President Obama to play golf with Tiger Woods.
obama warren unfollow hillary;FALSE;FALSE;0.9032132619809752;President Obama Elizabeth Warren and other top Democratic officials have distanced themselves from Hillary Clinton by unfollowing her on social media.
patiant fart japan;TRUE;TRUE;0.7309115473469714;A patient's fart during a surgical procedure in Japan allegedly sparked a fire which caused her to be seriously burnt
pence gay conversion;UNPROVEN;FALSE;0.9687317809211174;"Mike Pence supported ""gay conversion"" therapy which involves the use of electroshock therapy."
people absorb energy from others;FALSE;FALSE;0.7831614299791242;A groundbreaking study showing that algae can draw an alternative source of energy from other plants suggests that humans might be able to draw energy from each other in a similar way.
project veritas fundraising;TRUE;TRUE;0.7924622023562076;A fundraiser e-mail sent out by the head of Project Veritas says money is needed to expose voter fraud.
social media Psychiatry;TRUE;FALSE;0.8154703133606727;A team of researchers ponders a future in which Facebook plays an active role in all aspects of psychiatric care.
standing rock bail out;UNPROVEN;FALSE;0.7419708851834518;An anonymous donor contributed $2.5 million to bail out protesters arrested at the Dakota Access Pipeline.
standing rock buffalo;TRUE;FALSE;0.6828066502204168;After tensions escalated at the site of Dakota Access Pipeline protests at Standing Rock demonstrators were heartened by the sudden appearance of a buffalo herd.
starbucks satanism;FALSE;FALSE;0.7006562268993946;"Starbucks CEO Howard Schultz admitted that he was using the chain's ""holiday cup"" design to lure customers to Satanism."
starbucks unity;TRUE;FALSE;0.6588923014990591;The Seattle-based coffee giant has introduced a new green cup with a design intended to symbolize unity.
sweden christmas lights;FALSE;FALSE;0.9276621850624405;Sweden has discontinued the tradition of adorning street poles with Christmas lights to avoid angering Muslim refugees.
tequila health healthy;FALSE;FALSE;0.8117976099138663;Tequila fights viruses aids weight loss and is beneficial for people afflicted with gastrointestinal illness.
trump deport miranda;FALSE;FALSE;0.8878875430343595;Donald Trump threatened to deport Puerto Rican Broadway star Lin-Manuel Miranda.
trump kkk newspaper;TRUE;FALSE;0.8692440206833747;The GOP presidential candidate was lauded on the front page of 'The Crusader' a newspaper billed as the 'premier voice of the White Resistance.'
trump lawsuit rape;TRUE;TRUE;0.975572443734244;A civil suit against Donald Trump alleging he raped a 13-year-old girl was dismissed in California in May 2016 and refiled in New York in June 2016.
trump walk of fame damage;TRUE;TRUE;0.6643649869650208;Donald Trump's Hollywood Walk of Fame star sustained significant damage in an early morning act of vandalism.
vote trump missisippi church;TRUE;FALSE;0.9047337382861645;"Vandals apparently sprayed the words ""Vote Trump"" on the 111-year-old Baptist church."
white sharks mississippi;FALSE;FALSE;0.6265138750594167;A photograph shows two great white sharks in the Mississippi River.
zervos paid;UNPROVEN;FALSE;0.7722945747641156;Summer Zervos was paid $500000 to fabricate her sexual harassment claim against Donald Trump.
